"","x"
"1",50
"2",88
"3",85
"4",90
"5",100
"6",92
"7",94
"8",84
"9",86
"10",97
"11",98
"12",67
"13",84
"14",82
"15",94
"16",93
"17",85
"18",87
"19",98
"20",93
"21",88
"22",82
"23",94
"24",87
"25",89
"26",89
"27",68
"28",86
"29",65
"30",79
"31",78
"32",97
"33",83
"34",91
"35",92
"36",89
"37",92
"38",92
"39",85
"40",90
"41",62
"42",87
"43",93
"44",80
"45",91
"46",90
"47",113
"48",91
"49",71
"50",38
"51",101
