"","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"11",0.000168207505055336,0.000222914682977679,0.000219998621944622,0.000225170548653901,0.000198379859257121,0.000193888076601006,0.000233725878954868,0.000172734763192825,0.000238164426276705,0.000261734196258382,0.00018972160135381,0.000240421724688474,0.000227661832029487,0.000206481508119075,0.000213259636939341,0.000211717514493571,0.000213672923038312,0.000218536638405098,0.000206559109718618,0.000223292140678099,0.000211305612968189,0.000266996913748511,0.000228497052816658,0.000215285111439207,0.000225338741237974,0.000209784130337595,0.000239813104831003,0.000215278986875537,0.000210590452170373,0.000212414305499821,0.000240989845878567,0.000221906160026412,0.000226259289637849,0.000207133039400068,0.000227204666295536,0.000209920261546492,0.000227184573738125,0.000241796751143878,0.000234054144897443,0.000226331107122813,0.000221256916237193,0.000216721106491032,0.000176167749354155,0.000156562320590818,0.000209231954992003,0.000251940194449402,0.000206457199927458,0.000228003772049455,0.00025286079972114,0.000217114446917075,0.000223346624560105
"12",0.000200473278579863,0.000265674455639923,0.000262199032140576,0.000268363044285235,0.000236433331416476,0.000231079929406005,0.000278559468720663,0.000205868961022815,0.000283849423728602,0.000311940376400693,0.000226114235677581,0.000286539719938581,0.000271332208746779,0.000246089048673114,0.000254167366622056,0.000252329432324337,0.000254659929776269,0.000260456609094103,0.000246181535908319,0.000266124317747464,0.000251838519334347,0.000318212594927083,0.000272327642627611,0.00025658137016806,0.000268563499780671,0.000250025184006906,0.000285814353860559,0.000256574070782944,0.000250986175499851,0.000253159882650925,0.000287216818844313,0.000264472476557617,0.000269660628923355,0.000246865557497468,0.000270787348911248,0.000250187428074171,0.000270763402174401,0.000288178505684545,0.000278950703045983,0.000269746222527906,0.000263698694014563,0.000258292819582692,0.000209960466873607,0.000186594300299428,0.000249367089697467,0.000300267676942858,0.000246060077653846,0.000271739740128081,0.000301364873866637,0.000258761611060106,0.000266189252795707
"13",0.000230987481541629,0.000306112983500503,0.000302108562925893,0.00030921080443944,0.000272421043658608,0.000266252795915876,0.000320959235042029,0.00023720444525632,0.000327054378461683,0.000359421078192423,0.000260531269852347,0.000330154166875112,0.000312631907870846,0.000283546465597076,0.000292854390979138,0.000290736703187146,0.000293421927577022,0.000300100924231419,0.000283653030390579,0.000306631319490207,0.000290171067926342,0.000366647996270247,0.000313778857563112,0.000295635831994489,0.00030944177143105,0.000288081723334168,0.00032931839222851,0.000295627421563948,0.000289188988134299,0.000291693557042397,0.000330934327563346,0.000304728050191413,0.000310705895504791,0.00028444116746958,0.000312004114470678,0.000288268662704633,0.00031197652278128,0.000332042393550149,0.000321410019466459,0.000310804517382437,0.000303836489569734,0.000297607782535091,0.000241918722584861,0.000214995972538142,0.000287323459947492,0.000345971667529526,0.000283513084875087,0.000313101469939582,0.000347235869701379,0.000298147929149658,0.000306706138355662
"14",0.000260813820760126,0.000345639929394437,0.000341118436614724,0.000349137757543922,0.000307597506054707,0.000300632781168145,0.000362403208350805,0.000267833552085537,0.000369285389293041,0.00040583145042947,0.000294172461053617,0.000372785438967848,0.000353000612150611,0.00032015950198615,0.000330669316483644,0.000328278181515981,0.000331310136442921,0.000338851560872728,0.000320279826995828,0.000346225195699823,0.000327639508404596,0.000413991546827845,0.000354295662122423,0.000333809912041424,0.000349398548228981,0.000325280376462327,0.000371841744628139,0.000333800415611103,0.000326530617216449,0.000329358589459439,0.000373666338177396,0.000344076166088171,0.000350825902765195,0.000321169732550385,0.000352291754708412,0.000325491454444285,0.000352260600232484,0.000374917483571698,0.000362912200471461,0.000350937259227232,0.00034306948238987,0.000336036491384218,0.000273156562120424,0.000242757402572079,0.000324424202051049,0.000390645379917983,0.000320121810966777,0.000353530806585451,0.000392072822636755,0.000336646384619018,0.000346309675577407
"15",0.000283690608757955,0.00037595707809958,0.000371038991184427,0.000379761711589346,0.000334577835985713,0.000327002213508568,0.000394190716171565,0.000291326062459063,0.000401676554519375,0.000441428183866634,0.000319975238708228,0.000405483604391331,0.00038396338913742,0.000348241683486662,0.000359673346364179,0.000357072477542804,0.000360370374626799,0.000368573280750251,0.000348372562575603,0.000376593679925267,0.000356377784434755,0.000450304027593136,0.000385372031953221,0.000363089413285222,0.0003800453770331,0.000353811725723249,0.000404457135698325,0.000363079083893585,0.000355171628966096,0.000358247651413167,0.000406441769998823,0.000374256152270515,0.000381597929256414,0.000349340524502518,0.000383192355613529,0.000354041318008744,0.000383158468482028,0.000407802657230641,0.000394744353567547,0.000381719053138623,0.000373161169227188,0.000365511292798217,0.00029711597019026,0.000264050406207238,0.000352880453602659,0.000424910096077079,0.000348200686471245,0.000384540088568231,0.000426462744217715,0.000366174681657571,0.000376685569794561
"16",0.000305914989906498,0.000405409633599244,0.000400106262734783,0.000409512322865963,0.000360788733073057,0.000352619634759308,0.000425071698660795,0.000314148606634709,0.000433143979137891,0.000476009759375646,0.000345042165295195,0.000437249274086681,0.000414043160704892,0.000375523009222125,0.000387850230941241,0.000385045609516786,0.00038860186454257,0.000397447388033623,0.000375664141406048,0.000406096106944035,0.000384296494006522,0.00048558093854119,0.000415562156891139,0.000391533913253623,0.000409818210719433,0.000381529409723166,0.000436142391623299,0.000391522774655303,0.000382995848068202,0.000386312846751972,0.000438282502586658,0.000403575456887832,0.000411492390206035,0.000376707933671145,0.00041321172425477,0.000381776988315941,0.000413175182398355,0.000439750002006566,0.000425668708125244,0.000411623002958307,0.000402394692645711,0.000394145523310143,0.000320392096938824,0.000284736169813125,0.000380525181551434,0.000458197641161583,0.000375478800492015,0.000414665038888761,0.000459871924079691,0.000394860882190375,0.000406195195484754
"17",0.000320792702621763,0.000425126117785044,0.00041956482550206,0.00042942833513729,0.000378335147268734,0.000369768757217525,0.000445744417634122,0.000329426748842911,0.000454209281259666,0.000499159773867639,0.000361822768989979,0.000458514231017389,0.000434179523419809,0.000393786002646822,0.000406712740144392,0.000403771720200071,0.000407500928308775,0.00041677664045242,0.000393933998580991,0.000425845976722392,0.000402986172590302,0.000509196432851661,0.000435772393687486,0.000410575572772993,0.000429749099383735,0.000400084515349147,0.000457353517000003,0.000410563892465794,0.000401622271704518,0.000405100587600985,0.00045959770902229,0.000423202738664199,0.000431504700056803,0.000395028554103748,0.000433307651315816,0.00040034413455222,0.0004332693323015,0.000461136578056306,0.000446370461750659,0.000431641664962677,0.00042196454973954,0.000413314194533507,0.000335973881852188,0.000298583882654588,0.00039903144805958,0.000480481390232191,0.000393739643892006,0.000434831645708312,0.000482237099366999,0.000414064343810612,0.000425949884284379
"18",0.000331217029452764,0.000438940813568231,0.000433198804180753,0.000443382833725875,0.000390629345966371,0.000381784586585295,0.000460229115866148,0.000340131643526446,0.000468969049667203,0.000515380232067464,0.000373580389309967,0.00047341389102127,0.000448288414359242,0.000406582284979665,0.000419929083580346,0.000416892493653087,0.000420742884331807,0.000430320015598099,0.000406735090119203,0.000439684064698649,0.000416081419262445,0.000525743037540122,0.000449933045780255,0.000423917440977699,0.000443714021374453,0.000413085471150001,0.000472215458994168,0.000423905381112803,0.000414673197703273,0.000418264543295958,0.000474532577211224,0.000436954933235819,0.000445526671210581,0.000407865213796754,0.000447388210314739,0.000413353526815009,0.000447348646103989,0.000476121452600215,0.000460875503614033,0.000445668086862784,0.000435676508713768,0.000426745055686197,0.000346891529050781,0.000308286522252755,0.000411998183887499,0.000496094884576232,0.000406534419772839,0.000448961727702946,0.000497907646398621,0.000427519581456822,0.000439791348791266
"19",0.000332067994908356,0.000440068543836246,0.000434311782032075,0.0004445219764678,0.000391632954023322,0.000382765470615316,0.00046141154021162,0.000341005512480204,0.000470173928720879,0.000516704351104184,0.000374540195050374,0.000474630189797098,0.00044944016055838,0.000407626879455816,0.000421007968758791,0.000417963577200272,0.000421823860333687,0.000431425597242645,0.000407780077183546,0.000440813704533445,0.000417150418990784,0.000527093780779997,0.000451089017379665,0.000425006573076043,0.000444854015006348,0.000414146773664357,0.000473428678748793,0.000424994482226845,0.000415738579417457,0.000419339151924119,0.000475751750124606,0.000438077561364114,0.000446671321917013,0.000408913104383938,0.000448537643702406,0.000414415518020134,0.000448497977842968,0.000477344707665023,0.000462059588664104,0.000446813100895446,0.000436795852303501,0.000427841452514989,0.000347782765556788,0.000309078574464851,0.000413056692934676,0.000497369455543092,0.000407578891273316,0.000450115203784141,0.000499186874727733,0.000428617968203452,0.000440921264261216
"20",0.000330139139875681,0.000437512355228745,0.000431789032235745,0.000441939919586102,0.000389358109094235,0.0003805421334806,0.000458731378361885,0.000339024742851686,0.000467442869532547,0.000513703014620951,0.000372364635372118,0.000471873245905223,0.000446829535840335,0.000405259131976541,0.000418562495687649,0.000415535787826653,0.000419373648062759,0.000428919612181676,0.0004054114398377,0.000438253187574573,0.000414727352939884,0.000524032096102948,0.00044846881508767,0.000422537873653131,0.00044227002944072,0.000411741154631818,0.000470678713971642,0.000422525853035018,0.00041332371419864,0.000416903372366954,0.00047298829152094,0.000435532937606645,0.000444076780315769,0.000406537885719654,0.000445932261357027,0.000412008337955183,0.000445892825901283,0.00047457199618479,0.00045937566255061,0.000444217735754746,0.000434258673500106,0.000425356286369729,0.000345762629476505,0.000307283256117434,0.000410657405761075,0.000494480428018208,0.000405211422538903,0.0004475006580001,0.00049628729051508,0.000426128291577759,0.000438360122529329
